title,filename,n_chars,url
Perang Tiis,perang_tiis.txt,89438,https://su.wikipedia.org/wiki/Perang_Tiis
Muhammad Ali,muhammad_ali.txt,83500,https://su.wikipedia.org/wiki/Muhammad_Ali
Sydney,sydney.txt,2578,https://su.wikipedia.org/wiki/Sydney
Warren G. Harding,warren_g_harding.txt,106590,https://su.wikipedia.org/wiki/Warren_G._Harding
Kabupatén Pangandaran,kabupatén_pangandaran.txt,94687,https://su.wikipedia.org/wiki/Kabupat%C3%A9n_Pangandaran
Kota Dépok,kota_dépok.txt,107861,https://su.wikipedia.org/wiki/Kota_D%C3%A9pok
Woodrow Wilson,woodrow_wilson.txt,101180,https://su.wikipedia.org/wiki/Woodrow_Wilson
John Tyler,john_tyler.txt,88246,https://su.wikipedia.org/wiki/John_Tyler
Theodore Roosevelt,theodore_roosevelt.txt,82793,https://su.wikipedia.org/wiki/Theodore_Roosevelt
Benjamin Harrison,benjamin_harrison.txt,75055,https://su.wikipedia.org/wiki/Benjamin_Harrison
Béntang,béntang.txt,57247,https://su.wikipedia.org/wiki/B%C3%A9ntang
Kabupatén Lebak,kabupatén_lebak.txt,74910,https://su.wikipedia.org/wiki/Kabupat%C3%A9n_Lebak
Herbert Hoover,herbert_hoover.txt,74095,https://su.wikipedia.org/wiki/Herbert_Hoover
James K. Polk,james_k_polk.txt,89289,https://su.wikipedia.org/wiki/James_K._Polk
Diego Maradona,diego_maradona.txt,51998,https://su.wikipedia.org/wiki/Diego_Maradona
Iron Maiden,iron_maiden.txt,45958,https://su.wikipedia.org/wiki/Iron_Maiden
James A. Garfield,james_a_garfield.txt,85294,https://su.wikipedia.org/wiki/James_A._Garfield
Franklin Pierce,franklin_pierce.txt,81315,https://su.wikipedia.org/wiki/Franklin_Pierce
Kabupatén Sukabumi,kabupatén_sukabumi.txt,34580,https://su.wikipedia.org/wiki/Kabupat%C3%A9n_Sukabumi
Rugbi union,rugbi_union.txt,43780,https://su.wikipedia.org/wiki/Rugbi_union
Abraham Lincoln,abraham_lincoln.txt,71859,https://su.wikipedia.org/wiki/Abraham_Lincoln
Kota Tasikmalaya,kota_tasikmalaya.txt,42549,https://su.wikipedia.org/wiki/Kota_Tasikmalaya
Millard Fillmore,millard_fillmore.txt,75647,https://su.wikipedia.org/wiki/Millard_Fillmore
Muammar Khadafi,muammar_khadafi.txt,65996,https://su.wikipedia.org/wiki/Muammar_Khadafi
World Trade Organization,world_trade_organization.txt,72922,https://su.wikipedia.org/wiki/World_Trade_Organization
Valéncia,valéncia.txt,3157,https://su.wikipedia.org/wiki/Val%C3%A9ncia
Kabupatén Tasikmalaya,kabupatén_tasikmalaya.txt,34130,https://su.wikipedia.org/wiki/Kabupat%C3%A9n_Tasikmalaya
Seoul,seoul.txt,35103,https://su.wikipedia.org/wiki/Seoul
Chester A. Arthur,chester_a_arthur.txt,52570,https://su.wikipedia.org/wiki/Chester_A._Arthur
Michael Jordan,michael_jordan.txt,40080,https://su.wikipedia.org/wiki/Michael_Jordan
William McKinley,william_mckinley.txt,55946,https://su.wikipedia.org/wiki/William_McKinley
Kholid bin Walid,kholid_bin_walid.txt,57497,https://su.wikipedia.org/wiki/Kholid_bin_Walid
William Howard Taft,william_howard_taft.txt,66698,https://su.wikipedia.org/wiki/William_Howard_Taft
Butan,butan.txt,37816,https://su.wikipedia.org/wiki/Butan
2008,2008.txt,39215,https://su.wikipedia.org/wiki/2008
Cakram Blu-ray,cakram_blu-ray.txt,35908,https://su.wikipedia.org/wiki/Cakram_Blu-ray
Daptar taun,daptar_taun.txt,34950,https://su.wikipedia.org/wiki/Daptar_taun
Kota Bandung,kota_bandung.txt,31551,https://su.wikipedia.org/wiki/Kota_Bandung
James Buchanan,james_buchanan.txt,51695,https://su.wikipedia.org/wiki/James_Buchanan
Kabupatén Garut,kabupatén_garut.txt,29288,https://su.wikipedia.org/wiki/Kabupat%C3%A9n_Garut
Kronologi sasalad COVID-19,kronologi_sasalad_covid-19.txt,18312,https://su.wikipedia.org/wiki/Kronologi_sasalad_COVID-19
Républik Rahayat Tiongkok,républik_rahayat_tiongkok.txt,40953,https://su.wikipedia.org/wiki/R%C3%A9publik_Rahayat_Tiongkok
Honda,honda.txt,41144,https://su.wikipedia.org/wiki/Honda
Marc Márquez,marc_márquez.txt,15013,https://su.wikipedia.org/wiki/Marc_M%C3%A1rquez
Waktu,waktu.txt,43128,https://su.wikipedia.org/wiki/Waktu
Ucing,ucing.txt,3236,https://su.wikipedia.org/wiki/Ucing
Taksonomi (biologi),taksonomi_biologi.txt,27307,https://su.wikipedia.org/wiki/Taksonomi_%28biologi%29
Ulysses S. Grant,ulysses_s_grant.txt,58282,https://su.wikipedia.org/wiki/Ulysses_S._Grant
Sapfo,sapfo.txt,36071,https://su.wikipedia.org/wiki/Sapfo
Swédia,swédia.txt,53371,https://su.wikipedia.org/wiki/Sw%C3%A9dia
Piagam Jakarta,piagam_jakarta.txt,50837,https://su.wikipedia.org/wiki/Piagam_Jakarta
Uyah,uyah.txt,27101,https://su.wikipedia.org/wiki/Uyah
Laut Tengah,laut_tengah.txt,38191,https://su.wikipedia.org/wiki/Laut_Tengah
Perang Punik I,perang_punik_i.txt,38644,https://su.wikipedia.org/wiki/Perang_Punik_I
Zachary Taylor,zachary_taylor.txt,45469,https://su.wikipedia.org/wiki/Zachary_Taylor
Jalur Gaza,jalur_gaza.txt,32357,https://su.wikipedia.org/wiki/Jalur_Gaza
