filename,source_file,label,n_symbols,latin_source,font
budak_teuneung_fonts/bt_0000_noto.png,budak_teuneung_samsoedi_1930.pdf,ᮏ ᮓᮤ <sp> ᮚ ᮒᮤ ᮙ᮪ <sp> ᮙ <sp> ᮔ ᮠ <sp> ᮃ ᮛᮤ <sp> ᮊ <sp> ᮊᮥ ᮛᮤᮀ <sp> ᮏᮨ ᮜᮨ ᮙ <sp> ᮒᮦᮂ <sp> ᮒ ᮛ <sp> ᮃ ᮚ <sp> ᮔᮥ <sp> ᮑᮨ ᮘᮥ ᮒ᮪ <sp> ᮅ ᮏᮀ <sp> ᮝᮁ ᮏᮤ <sp> ᮒᮤ <sp> ᮞ ᮄ ᮍᮨ ᮒ᮪ <sp> ᮊᮧ ᮜᮧ ᮒ᮪ <sp> ᮘᮥ ᮓ ᮊ᮪ <sp> ᮑ <sp> ᮛᮨ ᮘᮥ ᮒ᮪ ᮔ <sp> ᮒᮦᮂ <sp> ᮘᮨ ᮒ᮪ <sp> ᮞᮤ <sp> ᮝ ᮏᮤ ᮒ᮪ <sp> ᮇ ᮙᮧᮀ <sp> ᮞᮤ <sp> ᮝᮁ ᮏᮤ <sp> ᮊ <sp> ᮄ ᮔ᮪ <sp> ᮓᮥᮀ ᮔ,92,"JADI YATIM ma, naha ari ka kuring jelema téh tara aya nu nyebut Ujang Warji, ti sainget, kolot-budak nya- rebutna téh bet Si Wajit,"" omong Si Warji ka in- dungna.",noto
budak_teuneung_fonts/bt_0001_noto.png,budak_teuneung_samsoedi_1930.pdf,ᮄᮂ <sp> ᮃ ᮒᮥᮂ <sp> ᮊᮩ ᮔ᮪ <sp> ᮘ ᮆ <sp> ᮔᮥ <sp> ᮑᮨ ᮘᮥ ᮒ᮪ <sp> ᮊᮤ ᮒᮥ <sp> ᮊᮤ ᮒᮥ <sp> ᮘ ᮆ <sp> ᮙᮂ <sp> ᮓ <sp> ᮙᮧ ᮃ ᮜ᮪ <sp> ᮙ ᮒ ᮊ᮪ <sp> ᮘᮧ ᮠ ᮊ᮪ <sp> ᮏ ᮝ ᮘ᮪ <sp> ᮄ ᮔ᮪ ᮓᮥᮀ ᮔ,50,"""Ih atuh keun baé nu nyebut kitu-kitu baé mah, da moal matak bohak,"" jawab indungna.",noto
budak_teuneung_fonts/bt_0002_noto.png,budak_teuneung_samsoedi_1930.pdf,ᮌᮩ ᮛ ᮠᮩ ᮔ᮪ <sp> ᮌᮩ ᮔᮤᮀ <sp> ᮘ ᮒᮥᮁ <sp> ᮙᮂ <sp> ᮞᮧ ᮊ᮪ <sp> ᮍ ᮙ᮪ ᮘᮨ ᮊ᮪ <sp> ᮃ ᮛᮤ <sp> ᮓᮤ ᮞᮨ ᮘᮥ ᮒ᮪ <sp> ᮞᮤ <sp> ᮒᮦᮂ <sp> ᮊᮧ ᮙᮧ <sp> ᮃ ᮞᮦ ᮕ᮪ <sp> ᮇ ᮔᮧ ᮔ᮪ <sp> ᮙᮂ <sp> ᮊᮦ ᮔ <sp> ᮊᮦ ᮔ <sp> ᮕᮥ ᮒᮢ <sp> ᮜᮥ ᮛᮂ <sp> ᮔ ᮠ <sp> ᮊᮥ ᮙ ᮠ <sp> ᮊᮤ ᮒᮥ <sp> ᮎᮦ ᮊ᮪ <sp> ᮄ ᮔ᮪ ᮓᮥᮀ ᮔ,75,"""Geuraheun, geuning batur mah sok ngambek ari disebut Si téh, komo Asép Onon mah kéna-kéna putra Lurah."" ""Naha kumaha kitu?"" cék indungna.",noto
budak_teuneung_fonts/bt_0003_noto.png,budak_teuneung_samsoedi_1930.pdf,ᮊᮥ ᮛᮤᮀ <sp> ᮊ ᮙ ᮛᮤ <sp> ᮊ ᮞ ᮜ ᮠ ᮔ᮪ <sp> ᮑᮨ ᮘᮥ ᮒ᮪ <sp> ᮞᮤ <sp> ᮇ ᮔᮧ ᮔ᮪ <sp> ᮅ ᮏᮥ ᮌ᮪ <sp> ᮅ ᮏᮥ ᮌ᮪ <sp> ᮌ ᮙ᮪ ᮕᮣᮨᮀ <sp> ᮌ ᮙ᮪ ᮕᮣᮨᮀ <sp> ᮘ ᮆ <sp> ᮔ ᮙ᮪ ᮕᮤ ᮜᮤ ᮍ ᮔ᮪ <sp> ᮊ <sp> ᮊᮥ ᮛᮤᮀ,53,"""Kuring kamari kasalahan nyebut Si Onon, ujug-ujug gampleng-gampleng baé nampilingan ka kuring.",noto
budak_teuneung_fonts/bt_0004_noto.png,budak_teuneung_samsoedi_1930.pdf,ᮏᮧ ᮜ᮪ <sp> ᮓᮩ ᮄ <sp> ᮘ ᮒᮥᮁ <sp> ᮇ ᮔᮧ ᮔ᮪ <sp> ᮞᮤ <sp> ᮘᮨ ᮌᮥ <sp> ᮏᮩᮀ <sp> ᮞᮤ <sp> ᮅ ᮒᮥ ᮔ᮪ <sp> ᮃ ᮔ ᮊ᮪ <sp> ᮃ ᮙ᮪ ᮘᮥ <sp> ᮄ ᮏᮨ ᮙ᮪ <sp> ᮒᮥ ᮊᮀ <sp> ᮝ ᮛᮥᮀ <sp> ᮒᮦ ᮃ <sp> ᮅ ᮏᮥ ᮌ᮪ <sp> ᮅ ᮏᮥ ᮌ᮪ <sp> ᮕᮨ ᮜᮨ ᮒ ᮊ᮪ <sp> ᮕᮨ ᮜᮨ ᮒ ᮊ᮪ <sp> ᮘ ᮆ <sp> ᮔ ᮛᮦ ᮊᮦ ᮃ ᮔ᮪,73,"Jol deui batur Onon, Si Begu jeung Si Utun anak Ambu Ijem tukang warung téa, ujug-ujug peletak-peletak baé narékéan.",noto
budak_teuneung_fonts/bt_0005_noto.png,budak_teuneung_samsoedi_1930.pdf,ᮌᮩ ᮛ <sp> ᮄ ᮉ <sp> ᮒ ᮕ ᮊ᮪ ᮔ <sp> ᮌᮦ <sp> ᮃ ᮚ <sp> ᮊᮦ ᮔᮦᮂ <sp> ᮘ ᮛᮨ ᮔ᮪ ᮏᮥ ᮜ᮪ <sp> ᮊ ᮝ ᮞ᮪ <sp> ᮒ ᮕ ᮊ᮪ <sp> ᮓᮤ ᮞᮩ ᮛᮩ ᮓ᮪ <sp> ᮆ ᮍᮀ <sp> ᮇ ᮙᮧᮀ <sp> ᮞᮤ <sp> ᮝᮁ ᮏᮤ <sp> ᮘ ᮛᮤ <sp> ᮔᮦ ᮙ᮪ ᮘᮧᮀ ᮊᮩ ᮔ᮪ <sp> ᮞᮤ ᮛᮂ ᮔ <sp> ᮊ <sp> ᮄ ᮔ᮪ ᮓᮥᮀ ᮔ,68,"Geura ieu tapakna gé aya kénéh, barenjul kawas tapak diseureud éngang,"" omong Si Warji bari némbongkeun sirahna ka indungna.",noto
budak_teuneung_fonts/bt_0006_noto.png,budak_teuneung_samsoedi_1930.pdf,ᮠ᮪ <sp> ᮈ ᮙ <sp> ᮔ ᮠ <sp> ᮃ ᮛᮤ <sp> ᮊ <sp> ᮊᮥ ᮛᮤᮀ <sp> ᮙ ᮔ <sp> ᮜᮧ ᮘ <sp> ᮜᮧ ᮘ <sp> ᮒᮩ ᮄᮀ <sp> ᮔᮥ <sp> ᮍ ᮠᮤ ᮔ,33,"""Éh Ema, naha ari ka kuring mana loba-loba teuing nu ngahina?",noto
budak_teuneung_fonts/bt_0007_noto.png,budak_teuneung_samsoedi_1930.pdf,ᮜ ᮙᮥ ᮔ᮪ <sp> ᮊᮥ ᮛᮤᮀ <sp> ᮍ ᮓᮩ ᮊᮩ ᮒ ᮔ᮪ <sp> ᮘ ᮛᮥ ᮓ ᮊ᮪ <sp> ᮔᮥ <sp> ᮊᮩᮁ <sp> ᮃ ᮛᮥ ᮜᮤ ᮔ᮪ <sp> ᮒ ᮚ <sp> ᮞ ᮅ ᮛᮀ <sp> ᮅ ᮛᮀ <sp> ᮃ ᮎ ᮔ᮪ <sp> ᮃ ᮔᮥ <sp> ᮒᮩ <sp> ᮍᮧ ᮕᮦ ᮔ ᮔ᮪ <sp> ᮃ ᮚ <sp> ᮔᮥ <sp> ᮍ ᮝᮥ ᮛ ᮔ᮪ <sp> ᮊᮥ <sp> ᮒ ᮔᮩᮂ <sp> ᮍᮨ ᮘᮥ ᮜ᮪ <sp> ᮔᮥ <sp> ᮙ ᮜᮦ ᮓᮧ ᮌ᮪ <sp> ᮔᮥ <sp> ᮍ <sp> ᮓᮥ ᮕ ᮊ᮪ <sp> ᮌᮩ ᮞ᮪ <sp> ᮕᮥ ᮌᮥᮂ <sp> ᮃ ᮔᮥ <sp> ᮑ ᮛᮦ ᮊ ᮔ᮪ <sp> ᮙᮂ <sp> ᮔᮥ <sp> ᮑᮨ ᮘᮥ ᮒ᮪ <sp> ᮘᮥ ᮓ ᮊ᮪ <sp> ᮊᮥ ᮜᮩ ᮠᮩ <sp> ᮒᮦ ᮃ <sp> ᮘᮥ ᮓ ᮊ᮪ <sp> ᮘ ᮅ <sp> ᮒᮦ ᮃ <sp> ᮍ ᮓᮦ ᮍᮦ <sp> ᮃ ᮔ ᮊ᮪ ᮔ <sp> ᮍᮧ ᮙᮧᮀ <sp> ᮊᮤ ᮒᮥ <sp> ᮃ ᮖ᮪ ᮔ᮪ ᮘᮥ <sp> ᮝᮁ ᮏᮤ <sp> ᮍ <sp> ᮠᮥ ᮜᮨᮀ <sp> ᮘ ᮆ <sp> ᮒᮩ <sp> ᮜᮦ ᮙᮦ ᮊ᮪ <sp> ᮒᮩ <sp> ᮑ ᮛᮦ ᮊ᮪ <sp> ᮊ ᮝ ᮞ᮪ <sp> ᮃ ᮚ <sp> ᮔᮥ <sp> ᮓᮤ ᮕᮤ ᮊᮤ ᮛ ᮔ᮪ <sp> ᮃ ᮒ ᮝ <sp> ᮔᮦ ᮃ ᮍ ᮔ᮪ <sp> ᮕᮤ ᮇ ᮙᮧ ᮍᮩ ᮔ᮪,200,"Lamun kuring ngadeukeutan barudak nu keur arulin, taya saurang-urang acan anu teu ngopénan, aya nu ngawuran ku taneuh ngebul, nu malédog, nu nga- dupak, geus puguh anu nyarékan mah, nu nyebut budak kuleuheu téa, budak bau téa Ngadéngé anakna ngomong kitu, Afnbu Warji nga- huleng baé, teu lémék teu nyarék, kawas aya nu dipikiran atawa néangan piomongeun.",noto
budak_teuneung_fonts/bt_0008_noto.png,budak_teuneung_samsoedi_1930.pdf,ᮞᮤ <sp> ᮝᮁ ᮏᮤ <sp> ᮕᮧ ᮊ᮪ <sp> ᮔ ᮑ <sp> ᮓᮩ ᮄ <sp> ᮊ <sp> ᮄ ᮔ᮪ ᮓᮥᮀ ᮔ <sp> ᮈ ᮙ <sp> ᮔ ᮠ <sp> ᮃ ᮛᮤ <sp> ᮊᮥ ᮛᮤᮀ <sp> ᮒᮩ <sp> ᮙᮩ ᮔᮀ <sp> ᮌᮨ ᮜᮥ ᮒ᮪,41,"Si Warji pok nanya deui ka indungna, ""Ema, naha ari kuring teu meunang gelut?",noto
budak_teuneung_fonts/bt_0009_noto.png,budak_teuneung_samsoedi_1930.pdf,ᮌᮩ ᮔᮤᮀ <sp> ᮘ ᮛᮥ ᮓ ᮊ᮪ <sp> ᮞᮦ ᮏᮦ ᮔ᮪ <sp> ᮙᮂ <sp> ᮃ ᮛᮤ <sp> ᮃ ᮚ <sp> ᮊ ᮊᮩ ᮠᮩ ᮜ᮪ <sp> ᮊ <sp> ᮘ ᮒᮥᮁ ᮔ <sp> ᮒᮦᮂ <sp> ᮞᮧ ᮊ᮪ <sp> ᮌᮨᮁ <sp> ᮘ ᮆ <sp> ᮌ ᮛᮨ ᮜᮥ ᮒ᮪ <sp> ᮔᮨ ᮕᮤ <sp> ᮊ <sp> ᮃ ᮚ <sp> ᮞ ᮜ ᮞ ᮅ ᮛᮀ <sp> ᮃ ᮔᮥ <sp> ᮆ ᮜᮦᮂ,65,"Geuning barudak séjén mah ari aya kakeuheul ka baturna téh, sok ger baé garelut, nepi ka aya salasaurang anu éléh.",noto
