filename,source_line,label,n_symbols,latin_source
pilot_proklamasi/proklamasi_001.png,1,ᮒᮀ ᮌ ᮜ᮪ <sp> ᮃ ᮌᮥ ᮞ᮪ ᮒᮥ ᮞ᮪ <sp> ᮙᮀ ᮛᮥ ᮕᮤ ᮊᮩ ᮔ᮪ <sp> ᮓᮤ ᮔ᮪ ᮒᮨ ᮔ᮪ <sp> ᮃ ᮔᮥ <sp> ᮘᮨᮁ ᮞᮨ ᮏ ᮛᮂ <sp> ᮕᮤ ᮊᮩ ᮔ᮪ <sp> ᮞ ᮊᮥ ᮙ᮪ ᮔ <sp> ᮛ ᮠ ᮚ ᮒ᮪ <sp> ᮄ ᮔ᮪ ᮓᮧ ᮔᮦ ᮞᮤ ᮃ,49,Tanggal 17 Agustus 1945 mangrupikeun dinten anu bersejarah pikeun sakumna rahayat Indonésia.
pilot_proklamasi/proklamasi_002.png,2,ᮓᮤ ᮔ <sp> ᮕᮧ ᮆ <sp> ᮆ ᮒ <sp> ᮕᮥ ᮔ᮪ ᮎ ᮊ᮪ <sp> ᮒᮤ ᮔ <sp> ᮞ ᮌ ᮜ <sp> ᮌ ᮌ ᮞ ᮔ᮪ <sp> ᮊᮧ ᮔ᮪ ᮞᮦ ᮕ᮪ <sp> ᮞᮁ ᮒ <sp> ᮒᮨ ᮊ ᮓ᮪ <sp> ᮔᮥ <sp> ᮒᮨ ᮌᮥᮂ <sp> ᮒᮤ <sp> ᮕ ᮛ <sp> ᮒᮧ ᮊᮧᮂ <sp> ᮕᮨᮁ ᮏᮥ ᮃ ᮍ ᮔ᮪ <sp> ᮍ ᮏ ᮓᮤ ᮊᮩ ᮔ᮪ <sp> ᮄ ᮔ᮪ ᮓᮧ ᮔᮦ ᮞᮤ ᮃ <sp> ᮘᮤ ᮞ <sp> ᮔᮀ ᮒᮥᮀ <sp> ᮊ ᮜ ᮝ ᮔ᮪ <sp> ᮃ ᮏᮨ ᮌ᮪ <sp> ᮒᮥᮁ <sp> ᮍ ᮕᮢᮧ ᮊᮣ ᮙ ᮞᮤ ᮊᮩ ᮔ᮪ <sp> ᮊ ᮙᮨᮁ ᮓᮤ ᮊ ᮃ ᮔ᮪ ᮔ,102,"Dina poé éta, puncak tina sagala gagasan, konsép, sarta tekad nu teguh ti para tokoh perjuangan ngajadikeun Indonésia bisa nangtung kalawan ajeg tur ngaproklamasikeun kamerdikaanna."
pilot_proklamasi/proklamasi_003.png,3,ᮅᮀ ᮌ ᮜ᮪ <sp> ᮒ ᮅ ᮔ᮪ <sp> ᮅ ᮛᮀ <sp> ᮙᮤ ᮆ ᮜᮤᮀ <sp> ᮕᮧ ᮆ <sp> ᮊ ᮙᮨᮁ ᮓᮦ ᮊ ᮃ ᮔ᮪ <sp> ᮄ ᮔ᮪ ᮓᮧ ᮔᮦ ᮞᮤ ᮃ,31,"Unggal taun, urang miéling Poé Kamerdékaan Indonésia."
pilot_proklamasi/proklamasi_004.png,4,ᮅᮀ ᮌ ᮜ᮪ <sp> ᮒ ᮅ ᮔ᮪ <sp> ᮅ ᮛᮀ <sp> ᮇ ᮌᮦ <sp> ᮓᮤ ᮄ ᮍᮨ ᮒ᮪ ᮊᮩ ᮔ᮪ <sp> ᮊ ᮔ <sp> ᮎ ᮛᮤ ᮒ <sp> ᮎ ᮛᮤ ᮒ <sp> ᮊ ᮕᮂ ᮜ ᮝ ᮔ ᮔ᮪ <sp> ᮞᮁ ᮒ <sp> ᮕᮨᮁ ᮏᮥ ᮃ ᮍ ᮔ᮪ <sp> ᮕᮤ ᮊᮩ ᮔ᮪ <sp> ᮍ ᮠᮧ ᮔ᮪ ᮒ ᮜ᮪ <sp> ᮊ ᮙᮨᮁ ᮓᮤ ᮊ ᮃ ᮔ᮪,64,"Unggal taun, urang ogé diingetkeun kana carita-carita kapahlawanan sarta perjuangan pikeun ngahontal kamerdikaan."
pilot_proklamasi/proklamasi_005.png,5,ᮒ ᮕᮤ <sp> ᮔ ᮇ ᮔ᮪ <sp> ᮕᮨ ᮛ ᮔ᮪ <sp> ᮊᮧ ᮒ <sp> ᮆ ᮒ <sp> ᮞᮁ ᮒ <sp> ᮒᮨ ᮙ᮪ ᮕ ᮒ᮪ <sp> ᮒᮨ ᮙ᮪ ᮕ ᮒ᮪ <sp> ᮓᮤ <sp> ᮏᮨ ᮛᮧ ᮔ <sp> ᮓᮤ ᮔ <sp> ᮊ ᮙᮨᮁ ᮓᮤ ᮊ ᮃ ᮔ᮪ <sp> ᮄ ᮔ᮪ ᮓᮧ ᮔᮦ ᮞᮤ ᮃ,52,"Tapi, naon peran kota éta—sarta tempat-tempat di jerona—dina kamerdikaan Indonésia?"
pilot_proklamasi/proklamasi_006.png,6,ᮓᮤ ᮔ <sp> ᮃᮁ ᮒᮤ ᮊᮨ ᮜ᮪ <sp> ᮠᮥ ᮞᮥ ᮞ᮪ <sp> ᮕᮤ ᮊᮩ ᮔ᮪ <sp> ᮙᮤ ᮆ ᮜᮤᮀ <sp> ᮕᮧ ᮆ <sp> ᮊ ᮙᮨᮁ ᮓᮤ ᮊ ᮃ ᮔ᮪ <sp> ᮄ ᮔ᮪ ᮓᮧ ᮔᮦ ᮞᮤ ᮃ <sp> ᮄ ᮉ <sp> ᮊ ᮙᮤ <sp> ᮘ ᮊ ᮜ᮪ <sp> ᮙ ᮝ <sp> ᮃ ᮔ᮪ ᮏᮩ ᮔ᮪ <sp> ᮘ ᮜᮤ ᮊ᮪ <sp> ᮓᮩ ᮄ <sp> ᮊ <sp> ᮒ ᮅ ᮔ᮪ <sp> ᮕᮤ ᮊᮩ ᮔ᮪ <sp> ᮔᮤ ᮜᮤ ᮊ᮪ <sp> ᮓᮩ ᮄ <sp> ᮊᮧ ᮒ <sp> ᮞᮁ ᮒ <sp> ᮜᮧ ᮊ ᮞᮤ <sp> ᮜᮧ ᮊ ᮞᮤ <sp> ᮓᮤ <sp> ᮏᮨ ᮛᮧ ᮔ <sp> ᮃ ᮔᮥ <sp> ᮏ ᮓᮤ <sp> ᮞ ᮊ᮪ ᮞᮤ <sp> ᮘᮤ ᮞᮥ <sp> ᮊ ᮔ <sp> ᮕᮨᮁ ᮏᮥ ᮃ ᮍ ᮔ᮪ <sp> ᮕ ᮛ <sp> ᮕᮂ ᮜ ᮝ ᮔ᮪,128,"Dina artikel husus pikeun miéling Poé Kamerdikaan Indonésia ieu, kami bakal mawa anjeun balik deui ka taun 1945 pikeun nilik deui kota sarta lokasi-lokasi di jerona anu jadi saksi bisu kana perjuangan para pahlawan."
pilot_proklamasi/proklamasi_007.png,7,ᮒᮥ ᮜᮥ ᮚ᮪ <sp> ᮓᮤ <sp> ᮘ ᮌᮤ ᮃ ᮔ᮪ <sp> ᮃ ᮠᮤᮁ <sp> ᮃᮁ ᮒᮤ ᮊᮨ ᮜ᮪ <sp> ᮄ ᮉ <sp> ᮊ ᮙᮤ <sp> ᮘ ᮊ ᮜ᮪ <sp> ᮙ ᮝ <sp> ᮃ ᮔ᮪ ᮏᮩ ᮔ᮪ <sp> ᮔᮤ ᮍ ᮜᮤ <sp> ᮊ ᮃ ᮚ ᮃ ᮔ᮪ <sp> ᮞᮤ ᮒᮥ ᮞ᮪ <sp> ᮞᮤ ᮒᮥ ᮞ᮪ <sp> ᮞ ᮏ ᮛᮂ <sp> ᮆ ᮒ <sp> ᮊᮤ ᮝ ᮛᮤ,65,"Tuluy, di bagian ahir artikel ieu, kami bakal mawa anjeun ningali kaayaan situs-situs sajarah éta kiwari."
pilot_proklamasi/proklamasi_008.png,8,ᮃ ᮔ᮪ ᮏᮩ ᮔ᮪ <sp> ᮒᮀ ᮒᮧ ᮞ᮪ <sp> ᮝ ᮝᮥᮂ <sp> ᮊ ᮔ <sp> ᮊᮧ ᮒ <sp> ᮛᮨ ᮍ ᮞ᮪ ᮓᮨᮀ ᮊᮣᮧ ᮊ᮪ <sp> ᮃ ᮔᮥ <sp> ᮕᮨ ᮛᮨ ᮔᮂ ᮔ <sp> ᮓᮤ <sp> ᮘᮩ ᮜᮂ <sp> ᮝᮦ ᮒ ᮔ᮪ <sp> ᮞᮁ ᮒ <sp> ᮏ ᮛ ᮊ᮪ ᮔ <sp> ᮊᮤ ᮛ <sp> ᮊᮤ ᮛ <sp> ᮊ᮪ ᮙ᮪ <sp> ᮒᮤ <sp> ᮕᮥ ᮞᮩᮁ <sp> ᮊᮧ ᮒ <sp> ᮏ ᮊᮁ ᮒ,70,"Anjeun tangtos wawuh kana kota Rengasdengklok, anu perenahna di beulah wétan sarta jarakna kira-kira 75 km ti puseur kota Jakarta."
pilot_proklamasi/proklamasi_009.png,9,ᮊᮧ ᮒ <sp> ᮜᮩ ᮒᮤ ᮊ᮪ <sp> ᮄ ᮉ <sp> ᮃ ᮔᮥ <sp> ᮓᮤ ᮜᮤ ᮝ ᮒ ᮔ᮪ <sp> ᮊᮥ <sp> ᮝ ᮜᮥ ᮍ ᮔ᮪ <sp> ᮎᮤ ᮒ ᮛᮥ ᮙ᮪ <sp> ᮘ ᮠᮩ ᮜ ᮔ <sp> ᮙᮀ ᮛᮥ ᮕ <sp> ᮘ ᮌᮤ ᮃ ᮔ᮪ <sp> ᮒᮤ <sp> ᮛᮨ ᮞᮤ ᮓᮨ ᮔ᮪ ᮞᮤ <sp> ᮕᮥᮁ ᮝ ᮊᮁ ᮒ,57,"Kota leutik ieu, anu diliwatan ku Walungan Citarum, baheulana mangrupa bagian ti Residensi Purwakarta."
pilot_proklamasi/proklamasi_010.png,10,ᮃ ᮚᮩ ᮔ <sp> ᮄ ᮉ <sp> ᮒᮦᮂ <sp> ᮞ ᮜᮂ <sp> ᮞ ᮠᮤ ᮏᮤ <sp> ᮊ ᮎ ᮙ ᮒ ᮔ᮪ <sp> ᮓᮤ <sp> ᮊ ᮘᮥ ᮕ ᮒᮦ ᮔ᮪ <sp> ᮊ ᮛ ᮝᮀ <sp> ᮕᮢᮧ ᮗᮤ ᮔ᮪ ᮞᮤ <sp> ᮏ ᮝ <sp> ᮘ ᮛ ᮒ᮪,45,"Ayeuna, ieu téh salah sahiji kacamatan di Kabupatén Karawang, Provinsi Jawa Barat."
