[width=0.5] parameter CRNN: 2,476,542  + AuxDecoder (training-only): 1,893,472  device: cuda
[width=0.5] epoch 1/120  lr=4.00e-04  ctc_loss=6.6530  aux_loss=4.1295  val_cer=1.0000  val_wer=1.0000  val_exact=0.0000  (55s elapsed)
[width=0.5] epoch 2/120  lr=6.00e-04  ctc_loss=4.4477  aux_loss=3.3794  val_cer=0.9361  val_wer=0.9917  val_exact=0.0083  (99s elapsed)
[width=0.5] epoch 3/120  lr=8.00e-04  ctc_loss=3.7190  aux_loss=2.8390  val_cer=0.9023  val_wer=0.9958  val_exact=0.0083  (152s elapsed)
[width=0.5] epoch 4/120  lr=1.00e-03  ctc_loss=2.2536  aux_loss=2.3369  val_cer=0.5265  val_wer=0.9432  val_exact=0.1000  (206s elapsed)
[width=0.5] epoch 5/120  lr=1.00e-03  ctc_loss=0.8532  aux_loss=1.9413  val_cer=0.2343  val_wer=0.4842  val_exact=0.3500  (252s elapsed)
[width=0.5] epoch 6/120  lr=1.00e-03  ctc_loss=0.3446  aux_loss=1.6388  val_cer=0.1645  val_wer=0.3558  val_exact=0.3958  (298s elapsed)
[width=0.5] epoch 7/120  lr=9.99e-04  ctc_loss=0.1619  aux_loss=1.4449  val_cer=0.1231  val_wer=0.2662  val_exact=0.4833  (345s elapsed)
[width=0.5] epoch 8/120  lr=9.98e-04  ctc_loss=0.1029  aux_loss=1.3536  val_cer=0.1016  val_wer=0.2242  val_exact=0.5250  (391s elapsed)
[width=0.5] epoch 9/120  lr=9.97e-04  ctc_loss=0.0615  aux_loss=1.2877  val_cer=0.1006  val_wer=0.2145  val_exact=0.5458  (438s elapsed)
[width=0.5] epoch 10/120  lr=9.95e-04  ctc_loss=0.0421  aux_loss=1.2680  val_cer=0.0958  val_wer=0.2116  val_exact=0.5375  (484s elapsed)
[width=0.5] epoch 11/120  lr=9.93e-04  ctc_loss=0.0356  aux_loss=1.2227  val_cer=0.0763  val_wer=0.1741  val_exact=0.5917  (531s elapsed)
[width=0.5] epoch 12/120  lr=9.91e-04  ctc_loss=0.0341  aux_loss=1.1930  val_cer=0.0754  val_wer=0.1661  val_exact=0.6083  (576s elapsed)
[width=0.5] epoch 13/120  lr=9.88e-04  ctc_loss=0.0293  aux_loss=1.1812  val_cer=0.0685  val_wer=0.1466  val_exact=0.6208  (624s elapsed)
[width=0.5] epoch 14/120  lr=9.85e-04  ctc_loss=0.0182  aux_loss=1.1502  val_cer=0.0626  val_wer=0.1430  val_exact=0.6292  (669s elapsed)
[width=0.5] epoch 15/120  lr=9.81e-04  ctc_loss=0.0138  aux_loss=1.1449  val_cer=0.0604  val_wer=0.1376  val_exact=0.6583  (714s elapsed)
[width=0.5] epoch 16/120  lr=9.78e-04  ctc_loss=0.0119  aux_loss=1.1248  val_cer=0.0599  val_wer=0.1367  val_exact=0.6542  (761s elapsed)
[width=0.5] epoch 17/120  lr=9.73e-04  ctc_loss=0.0115  aux_loss=1.1279  val_cer=0.0850  val_wer=0.1659  val_exact=0.6000  (806s elapsed)
[width=0.5] epoch 18/120  lr=9.69e-04  ctc_loss=0.0357  aux_loss=1.1318  val_cer=0.0855  val_wer=0.1892  val_exact=0.5792  (850s elapsed)
[width=0.5] epoch 19/120  lr=9.64e-04  ctc_loss=0.0239  aux_loss=1.1275  val_cer=0.0839  val_wer=0.1788  val_exact=0.6250  (895s elapsed)
